holiday_date,holiday_name
2023-01-01,New Year's Day
2023-01-02,Day after New Year's Day
2023-01-03,New Year's Day (observed)
2023-02-06,Waitangi Day
2023-04-07,Good Friday
2023-04-10,Easter Monday
2023-04-25,Anzac Day
2023-06-05,King's Birthday
2023-07-14,Matariki
2023-10-23,Labour Day
2023-12-25,Christmas Day
2023-12-26,Boxing Day
2024-01-01,New Year's Day
2024-01-02,Day after New Year's Day
2024-02-06,Waitangi Day
2024-03-29,Good Friday
2024-04-01,Easter Monday
2024-04-25,Anzac Day
2024-06-03,King's Birthday
2024-06-28,Matariki
2024-10-28,Labour Day
2024-12-25,Christmas Day
2024-12-26,Boxing Day
2025-01-01,New Year's Day
2025-01-02,Day after New Year's Day
2025-02-06,Waitangi Day
2025-04-18,Good Friday
2025-04-21,Easter Monday
2025-04-25,Anzac Day
2025-06-02,King's Birthday
2025-06-20,Matariki
2025-10-27,Labour Day
2025-12-25,Christmas Day
2025-12-26,Boxing Day
